phase,country,conflict_name,event_id,event_date,derived_year,derived_month,location,location_type,fatalities,injuries,missing,verification_status,confidence_level,reliability_score,derived_is_aggregate,derived_missing_data_flag,derived_ambiguity_flag,derived_needs_review,derived_timeline_order,source_name,source_url
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-042,2026-01-31,2026,2026-01,Khan Younis,area,,,,verified,high,0.95,false,true,false,false,12,OCHA oPt Gaza Humanitarian Response SitRep #62,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-62
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-040,2026-02-04,2026,2026-02,Mawasi area of Khan Younis,area,1,,,verified,high,0.95,false,false,false,false,13,OCHA oPt Gaza Humanitarian Response SitRep #69,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-69
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-041,2026-02-05,2026,2026-02,Gaza Strip,Gaza-wide,82,162,,verified,high,0.95,true,false,false,false,14,OCHA oPt Gaza Humanitarian Response SitRep #69,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-69
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-038,2026-02-25,2026,2026-02,Gaza Strip (ceasefire period cumulative),Gaza-wide,618,1663,,verified,high,0.95,true,false,false,false,15,OCHA oPt Gaza Humanitarian Response SitRep #69,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-69
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-024,2026-05-08,2026,2026-05,Port Sudan to Khartoum humanitarian corridor,infrastructure,,,,verified,high,0.94,true,true,false,false,16,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-020,2026-06-01,2026,2026-06,Al Obeid and North Kordofan,area,,,,estimated,high,0.94,false,true,true,false,17,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-025,2026-06-01,2026,2026-06,Al Obeid and North Kordofan,area,,,,verified,high,0.94,false,true,false,false,18,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase1_palestine,Palestine,Israel-Palestinian conflict,EVT-028,2026-06-05,2026,2026-06,Kalandiya Camp,camp,1,2,0,verified,high,0.95,false,false,false,false,19,OCHA oPt,https://www.ochaopt.org/content/humanitarian-situation-report-10-july-2026
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-027,2026-06-10,2026,2026-06,Khartoum,territory,,,,estimated,medium,0.89,false,true,true,false,20,ACLED Sudan Conflict Events Database,https://acleddata.com/
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-028,2026-06-12,2026,2026-06,"El Geneina, West Darfur",area,,,,estimated,medium,0.89,false,true,true,false,21,ACLED Sudan Conflict Events Database,https://acleddata.com/
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-034,2026-06-13,2026,2026-06,Gaza Strip (water access),Gaza-wide,0,0,0,verified,medium,0.85,false,false,false,false,22,Security Council Report / OCHA,https://www.securitycouncilreport.org/whatsinblue/2026/06/the-middle-east-including-the-palestinian-question-briefing-on-the-humanitarian-situation-in-gaza-3.php
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-017,2026-06-14,2026,2026-06,Khan al Ahmar in Jerusalem governorate,community,,,,verified,high,0.95,false,true,false,false,23,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-011,2026-06-15,2026,2026-06,Al Bowereh and Hiwara communities in Hebron governorate,community,,,,verified,high,0.95,false,true,false,false,24,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-022,2026-06-15,2026,2026-06,Al Obeid Teaching Hospital,health facility,,,,verified,high,0.94,true,true,false,false,25,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-026,2026-06-15,2026,2026-06,Tawila town in North Darfur,area,,,,verified,high,0.94,false,true,false,false,26,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-029,2026-06-18,2026,2026-06,Gedaref,market area,,,,estimated,medium,0.89,false,true,true,false,27,ACLED Sudan Conflict Events Database,https://acleddata.com/
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-008,2026-06-20,2026,2026-06,Gaza Strip - 130 health facilities across territory,health facility,,,,verified,high,0.95,false,true,false,false,28,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-023,2026-06-20,2026,2026-06,Al Obeid displacement sites,camp,,,,verified,high,0.94,false,true,false,false,29,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-033,2026-06-20,2026,2026-06,North Darfur (Al Fasher),territory,,,,verified,high,0.94,false,true,false,false,30,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-007,2026-06-22,2026,2026-06,Shufat Camp,camp,,,,verified,high,0.95,false,true,false,false,31,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-009,2026-06-22,2026,2026-06,Al Shifa Hospital - Gaza City,health facility,,,,verified,high,0.95,false,true,false,false,32,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-012,2026-06-22,2026,2026-06,Kafr Aqab,area,2,,,verified,high,0.95,false,false,false,false,33,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-013,2026-06-22,2026,2026-06,East Jerusalem areas West Bank side of Barrier,area,,,,verified,high,0.95,false,true,false,false,34,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-003,2026-06-23,2026,2026-06,near a temporary education learning space,school area,1,,,verified,high,0.95,false,false,false,false,35,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-006,2026-06-24,2026,2026-06,Wadi Salman Bedouin community in Area C of Ramallah governorate,community,,,,verified,high,0.95,false,true,false,false,36,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-005,2026-06-27,2026,2026-06,eastern Deir al Balah governorate and eastern Gaza city,area,,,,verified,high,0.95,false,true,false,false,37,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-015,2026-06-27,2026,2026-06,Rammun village in Ramallah governorate,infrastructure,,,,verified,high,0.95,false,true,false,false,38,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-018,2026-06-27,2026,2026-06,East Jerusalem - Kafr Aqab and Shufat Camp,area,,,,verified,high,0.95,true,true,false,false,39,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-014,2026-06-28,2026,2026-06,Kafr ad Dik in Salfit governorate,community,,,,verified,high,0.95,false,true,false,false,40,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-002,2026-06-29,2026,2026-06,Al Mawasi area of Khan Younis,area,2,,,verified,high,0.95,false,false,false,false,41,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-004,2026-06-29,2026,2026-06,West Bank,territory,3,20,,verified,high,0.95,false,false,false,false,42,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-016,2026-06-29,2026,2026-06,Jalud village in Nablus governorate,community,,,,verified,high,0.95,false,true,false,false,43,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-001,2026-06-30,2026,2026-06,Gaza Strip,territory,23,112,,verified,high,0.95,false,false,false,false,44,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-019,2026-06-30,2026,2026-06,UNRWA Kalandia Training Centre (KTC) in East Jerusalem,school,,,,verified,high,0.95,false,true,false,false,45,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israel-Palestinian conflict,EVT-031,2026-06-30,2026,2026-06,West Bank including East Jerusalem (cumulative since 7 Oct 2023),West Bank-wide,1109,0,0,verified,high,0.95,true,false,false,false,46,UNRWA,https://www.unrwa.org/resources/reports/unrwa-situation-report-229-humanitarian-crisis-gaza-strip-and-occupied-west-bank
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-032,2026-06-30,2026,2026-06,Gaza Strip (post-ceasefire cumulative),Gaza-wide,1053,3406,0,verified,high,0.95,true,false,false,false,47,UNRWA,https://www.unrwa.org/resources/reports/unrwa-situation-report-229-humanitarian-crisis-gaza-strip-and-occupied-west-bank
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-032,2026-07-01,2026,2026-07,Khartoum State,territory,,,,estimated,medium,0.91,false,true,true,false,48,UN OCHA Sudan Situation Report,https://www.unocha.org/sudan
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-021,2026-07-02,2026,2026-07,Al Obeid and displacement sites in North Kordofan,area,,,,verified,high,0.94,false,true,false,false,49,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-035,2026-07-03,2026,2026-07,Gaza Strip (shelter recovery),Gaza-wide,0,0,0,verified,medium,0.95,true,false,false,false,50,UNRWA,https://www.unrwa.org/resources/reports/unrwa-situation-report-229-humanitarian-crisis-gaza-strip-and-occupied-west-bank
phase1_palestine,Palestine,Israel-Palestinian conflict,EVT-030,2026-07-05,2026,2026-07,Gaza Strip (29 June-5 July reporting period),Gaza-wide,44,0,0,verified,medium,0.95,true,false,false,false,51,OCHA oPt,https://www.ochaopt.org/content/humanitarian-situation-report-10-july-2026
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-034,2026-07-05,2026,2026-07,Sudan (cholera outbreak),territory,,,,verified,high,0.93,false,true,false,false,52,WHO Sudan Health Cluster,https://www.emro.who.int/sudan/
phase1_palestine,Palestine,Israel-Palestinian conflict,EVT-029,2026-07-08,2026,2026-07,Kerem Shalom to Gaza warehouse route,access-restricted area,1,0,0,verified,high,0.95,false,false,false,false,53,OCHA oPt,https://www.ochaopt.org/content/humanitarian-situation-report-10-july-2026
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-031,2026-07-08,2026,2026-07,North Darfur displacement cluster,area,,,,estimated,medium,0.89,false,true,true,false,54,ACLED Sudan Conflict Events Database,https://acleddata.com/
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-033,2026-07-10,2026,2026-07,"West Bank, near Ramallah (Israeli-staffed road gate)",checkpoint,1,0,0,verified,medium,0.95,false,false,false,false,55,OCHA oPt,https://www.ochaopt.org/content/humanitarian-situation-report-10-july-2026
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-035,2026-07-10,2026,2026-07,White Nile State,territory,,,,estimated,medium,0.91,false,true,true,false,56,UN OCHA Sudan Situation Report,https://www.unocha.org/sudan
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-037,2026-07-13,2026,2026-07,Gaza Strip,territory,73231,,,verified,medium,0.90,true,false,false,false,57,Gaza Ministry of Health (MoH),https://www.ochaopt.org/
