record_id,legacy_record_id,phase,phase_dir,country,conflict_name,event_id,derived_global_event_key,event_date,location,location_type,source_id,source_name,source_url,source_type,source_date,reliability_score,fatalities,injuries,missing,verification_status,confidence_level,derived_year,derived_month,derived_timeline_order,derived_is_aggregate,derived_missing_data_flag,derived_ambiguity_flag,derived_needs_review,citation_text,notes
31,REC-P103,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-039,phase1_palestine/EVT-039,2026-01-15,Gaza Strip (winter storm),Gaza-wide,SRC-P011,OCHA oPt Gaza Humanitarian Response SitRep #62,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-62,situation report,2026-01-15,0.95,31,34,,verified,high,2026,2026-01,11,true,false,false,false,"OCHA SR #62 (15 Jan 2026): MoH reported 31 storm-related deaths since onset of winter, including 7 children who died from hypothermia, and 34 injuries from widespread shelter/WASH damage.","OCHA SR #62 (15 Jan 2026): MoH reported 31 storm-related deaths since onset of winter, including 7 children who died from hypothermia, and 34 injuries from widespread shelter/WASH damage."
34,REC-P106,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-042,phase1_palestine/EVT-042,2026-01-31,Khan Younis,area,SRC-P011,OCHA oPt Gaza Humanitarian Response SitRep #62,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-62,situation report,2026-01-15,0.95,,,,verified,high,2026,2026-01,12,false,true,false,false,OCHA SR #62: military escalation on 31 January 2026 affected 22 families in Khan Younis; multisectoral assistance provided. No specific fatality figure stated for this sub-event.,OCHA SR #62: military escalation on 31 January 2026 affected 22 families in Khan Younis; multisectoral assistance provided. No specific fatality figure stated for this sub-event.
32,REC-P104,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-040,phase1_palestine/EVT-040,2026-02-04,Mawasi area of Khan Younis,area,SRC-P010,OCHA oPt Gaza Humanitarian Response SitRep #69,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-69,situation report,2026-02-25,0.95,1,,,verified,high,2026,2026-02,13,false,false,false,false,"IFRC reported a Palestine Red Crescent Society paramedic was killed while carrying out humanitarian duties during an attack in the Mawasi area (OCHA SR #66, 4 Feb 2026).","IFRC reported a Palestine Red Crescent Society paramedic was killed while carrying out humanitarian duties during an attack in the Mawasi area (OCHA SR #66, 4 Feb 2026)."
33,REC-P105,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-041,phase1_palestine/EVT-041,2026-02-05,Gaza Strip,Gaza-wide,SRC-P010,OCHA oPt Gaza Humanitarian Response SitRep #69,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-69,situation report,2026-02-25,0.95,82,162,,verified,high,2026,2026-02,14,true,false,false,false,"OCHA SR #66 (5 Feb 2026): MoH reported 82 Palestinians killed and 162 injured between 30 Jan and 5 Feb 2026, including children and one health worker; cumulative since ceasefire 574 killed / 1,518 injured.","OCHA SR #66 (5 Feb 2026): MoH reported 82 Palestinians killed and 162 injured between 30 Jan and 5 Feb 2026, including children and one health worker; cumulative since ceasefire 574 killed / 1,518 injured."
30,REC-P102,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-038,phase1_palestine/EVT-038,2026-02-25,Gaza Strip (ceasefire period cumulative),Gaza-wide,SRC-P010,OCHA oPt Gaza Humanitarian Response SitRep #69,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-69,situation report,2026-02-25,0.95,618,1663,,verified,high,2026,2026-02,15,true,false,false,false,"AGGREGATE: OCHA SR #69 (25 Feb 2026) reports MoH figure of 618 killed and 1,663 injured in Gaza since the 10 Oct 2025 ceasefire took effect.","AGGREGATE: OCHA SR #69 (25 Feb 2026) reports MoH figure of 618 killed and 1,663 injured in Gaza since the 10 Oct 2025 ceasefire took effect."
5,evt_024,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-024,phase2_sudan/EVT-024,2026-05-08,Port Sudan to Khartoum humanitarian corridor,infrastructure,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,verified,high,2026,2026-05,16,true,true,false,false,ICRC reported that the first RED aircraft flight from Port Sudan to Khartoum since the war began demonstrated critical need for humanitarian air access; aircraft operations shifted to Jeddah base to strengthen humanitarian access.,ICRC reported that the first RED aircraft flight from Port Sudan to Khartoum since the war began demonstrated critical need for humanitarian air access; aircraft operations shifted to Jeddah base to strengthen humanitarian access.
1,evt_020,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-020,phase2_sudan/EVT-020,2026-06-01,Al Obeid and North Kordofan,area,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,estimated,high,2026,2026-06,17,false,true,true,false,"ICRC reported that the population of Al Obeid is facing mounting hardship following escalation of hostilities, with months of displacement, uncertainty and repeated disruptions to essential services including safe water, healthcare and other basic needs.","ICRC reported that the population of Al Obeid is facing mounting hardship following escalation of hostilities, with months of displacement, uncertainty and repeated disruptions to essential services including safe water, healthcare and other basic needs."
6,evt_025,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-025,phase2_sudan/EVT-025,2026-06-01,Al Obeid and North Kordofan,area,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,verified,high,2026,2026-06,18,false,true,false,false,"ICRC reported that 36 trained Red Crescent volunteers are deployed across 12 displacement sites in Al Obeid, providing first aid; between April and May, first-aid teams assisted almost 400 people with injuries and medical needs.","ICRC reported that 36 trained Red Crescent volunteers are deployed across 12 displacement sites in Al Obeid, providing first aid; between April and May, first-aid teams assisted almost 400 people with injuries and medical needs."
20,REC-P014,phase1_palestine,phase1_palestine,Palestine,Israel-Palestinian conflict,EVT-028,phase1_palestine/EVT-028,2026-06-05,Kalandiya Camp,camp,SRC-P006,OCHA oPt,https://www.ochaopt.org/content/humanitarian-situation-report-10-july-2026,situation report,2026-07-10,0.95,1,2,0,verified,high,2026,2026-06,19,false,false,false,false,A Palestinian child was shot and killed by Israeli forces during a search operation; two other children were injured in the same incident. (Merged from phase1_new_events; original draft event_id EVT-014 renumbered to avoid collision.),A Palestinian child was shot and killed by Israeli forces during a search operation; two other children were injured in the same incident. (Merged from phase1_new_events; original draft event_id EVT-014 renumbered to avoid collision.)
8,evt_027,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-027,phase2_sudan/EVT-027,2026-06-10,Khartoum,territory,acled_sudan_conf,ACLED Sudan Conflict Events Database,https://acleddata.com/,conflict event database,2026-07-12,0.89,,,,estimated,medium,2026,2026-06,20,false,true,true,false,ACLED reported sustained heavy clashes in Khartoum resulting in large-scale displacement and reports of civilian casualties; exact figures vary across sources.,ACLED reported sustained heavy clashes in Khartoum resulting in large-scale displacement and reports of civilian casualties; exact figures vary across sources.
9,evt_028,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-028,phase2_sudan/EVT-028,2026-06-12,"El Geneina, West Darfur",area,acled_sudan_conf,ACLED Sudan Conflict Events Database,https://acleddata.com/,conflict event database,2026-07-12,0.89,,,,estimated,medium,2026,2026-06,21,false,true,true,false,"ACLED documented inter-communal violence and clashes in West Darfur (El Geneina), causing displacement and damage to civilian infrastructure.","ACLED documented inter-communal violence and clashes in West Darfur (El Geneina), causing displacement and damage to civilian infrastructure."
26,REC-P020,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-034,phase1_palestine/EVT-034,2026-06-13,Gaza Strip (water access),Gaza-wide,SRC-P008,Security Council Report / OCHA,https://www.securitycouncilreport.org/whatsinblue/2026/06/the-middle-east-including-the-palestinian-question-briefing-on-the-humanitarian-situation-in-gaza-3.php,briefing summary,2026-06-13,0.85,0,0,0,verified,medium,2026,2026-06,22,false,false,false,false,OCHA reported that insufficient funding is threatening the trucked bottled-water supply relied on by roughly 70 percent of Gazas population. (Merged from phase1_new_events; original draft event_id EVT-020 renumbered.),OCHA reported that insufficient funding is threatening the trucked bottled-water supply relied on by roughly 70 percent of Gazas population. (Merged from phase1_new_events; original draft event_id EVT-020 renumbered.)
17,evt_017,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-017,phase1_palestine/EVT-017,2026-06-14,Khan al Ahmar in Jerusalem governorate,community,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,23,false,true,false,false,"OCHA reported that residents in Khan al Ahmar reported near-daily settler incursions involving damage to water and electricity infrastructure, harassment, and grazing of livestock on community land.","OCHA reported that residents in Khan al Ahmar reported near-daily settler incursions involving damage to water and electricity infrastructure, harassment, and grazing of livestock on community land."
11,evt_011,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-011,phase1_palestine/EVT-011,2026-06-15,Al Bowereh and Hiwara communities in Hebron governorate,community,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,24,false,true,false,false,"OCHA documented that establishment of settlement outposts near Al Bowereh (120+ families) and Hiwara (30 households) was accompanied by repeated settler attacks on homes, agricultural land, and livelihood assets, with at least 6 documented attacks in Al Bowereh and 11 in Hiwara.","OCHA documented that establishment of settlement outposts near Al Bowereh (120+ families) and Hiwara (30 households) was accompanied by repeated settler attacks on homes, agricultural land, and livelihood assets, with at least 6 documented attacks in Al Bowereh and 11 in Hiwara."
3,evt_022,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-022,phase2_sudan/EVT-022,2026-06-15,Al Obeid Teaching Hospital,health facility,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,verified,high,2026,2026-06,25,true,true,false,false,"ICRC reported that more than 850 weapon-wounded patients were treated at Al Obeid Teaching Hospital since the beginning of the year, illustrating continued pressure on health services despite ongoing conflict.","ICRC reported that more than 850 weapon-wounded patients were treated at Al Obeid Teaching Hospital since the beginning of the year, illustrating continued pressure on health services despite ongoing conflict."
7,evt_026,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-026,phase2_sudan/EVT-026,2026-06-15,Tawila town in North Darfur,area,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,verified,high,2026,2026-06,26,false,true,false,false,"ICRC reported that hundreds of displaced families fled hostilities and violence in Al Fasher, seeking shelter in Tawila town; displacement driven by conflict in North Darfur region.","ICRC reported that hundreds of displaced families fled hostilities and violence in Al Fasher, seeking shelter in Tawila town; displacement driven by conflict in North Darfur region."
10,evt_029,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-029,phase2_sudan/EVT-029,2026-06-18,Gedaref,market area,acled_sudan_conf,ACLED Sudan Conflict Events Database,https://acleddata.com/,conflict event database,2026-07-12,0.89,,,,estimated,medium,2026,2026-06,27,false,true,true,false,"ACLED reported incidents disrupting markets and trade routes in Gedaref, worsening food security and market access for local communities.","ACLED reported incidents disrupting markets and trade routes in Gedaref, worsening food security and market access for local communities."
8,evt_008,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-008,phase1_palestine/EVT-008,2026-06-20,Gaza Strip - 130 health facilities across territory,health facility,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,28,false,true,false,false,"OCHA reported that in just two weeks, over 9,000 cases of chickenpox were recorded across more than 130 health facilities in Gaza, with over half in Khan Younis, driven by deteriorating environmental conditions and overcrowding.","OCHA reported that in just two weeks, over 9,000 cases of chickenpox were recorded across more than 130 health facilities in Gaza, with over half in Khan Younis, driven by deteriorating environmental conditions and overcrowding."
4,evt_023,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-023,phase2_sudan/EVT-023,2026-06-20,Al Obeid displacement sites,camp,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,verified,high,2026,2026-06,29,false,true,false,false,"ICRC documented that cholera-prevention and sanitation activities are being conducted for 6,000 displaced households, with cholera-response materials provided to reinforce outbreak preparedness and health access.","ICRC documented that cholera-prevention and sanitation activities are being conducted for 6,000 displaced households, with cholera-response materials provided to reinforce outbreak preparedness and health access."
14,REC-S101,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-033,phase2_sudan/EVT-033,2026-06-20,North Darfur (Al Fasher),territory,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,verified,high,2026,2026-06,30,false,true,false,false,ICRC reported continued displacement from Al Fasher and worsening humanitarian access in North Darfur; hundreds of families sheltering in Tawila.,ICRC reported continued displacement from Al Fasher and worsening humanitarian access in North Darfur; hundreds of families sheltering in Tawila.
7,evt_007,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-007,phase1_palestine/EVT-007,2026-06-22,Shufat Camp,camp,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,31,false,true,false,false,"OCHA reported that Israeli authorities demolished 12 livelihood structures in Shufat Camp, affecting 12 households comprising 48 people and damaging commercial shops.","OCHA reported that Israeli authorities demolished 12 livelihood structures in Shufat Camp, affecting 12 households comprising 48 people and damaging commercial shops."
9,evt_009,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-009,phase1_palestine/EVT-009,2026-06-22,Al Shifa Hospital - Gaza City,health facility,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,32,false,true,false,false,"OCHA reported a critical disruption in haemodialysis services at Al Shifa Hospital due to shortage of sodium bicarbonate, reducing treatment capacity for approximately 240 patients with end-stage kidney disease and requiring reduction of dialysis sessions.","OCHA reported a critical disruption in haemodialysis services at Al Shifa Hospital due to shortage of sodium bicarbonate, reducing treatment capacity for approximately 240 patients with end-stage kidney disease and requiring reduction of dialysis sessions."
12,evt_012,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-012,phase1_palestine/EVT-012,2026-06-22,Kafr Aqab,area,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,2,,,verified,high,2026,2026-06,33,false,false,false,false,"OCHA reported that Israeli authorities demolished a multi-storey Palestinian-owned building in Kafr Aqab on 22 June, displacing two households and destroying property on the West Bank side of the Barrier.","OCHA reported that Israeli authorities demolished a multi-storey Palestinian-owned building in Kafr Aqab on 22 June, displacing two households and destroying property on the West Bank side of the Barrier."
13,evt_013,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-013,phase1_palestine/EVT-013,2026-06-22,East Jerusalem areas West Bank side of Barrier,area,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,34,false,true,false,false,"OCHA documented that in 2026, 37% of structures demolished in East Jerusalem for lacking Israeli-issued building permits were located on the West Bank side of the Barrier, nearly double the six-year average of 19%.","OCHA documented that in 2026, 37% of structures demolished in East Jerusalem for lacking Israeli-issued building permits were located on the West Bank side of the Barrier, nearly double the six-year average of 19%."
3,evt_003,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-003,phase1_palestine/EVT-003,2026-06-23,near a temporary education learning space,school area,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,1,,,verified,high,2026,2026-06,35,false,false,false,false,OCHA reported that a fifth-grade child died from injuries sustained during an airstrike on 23 June near a temporary education learning space.,OCHA reported that a fifth-grade child died from injuries sustained during an airstrike on 23 June near a temporary education learning space.
6,evt_006,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-006,phase1_palestine/EVT-006,2026-06-24,Wadi Salman Bedouin community in Area C of Ramallah governorate,community,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,36,false,true,false,false,"OCHA reported that a Palestinian Bedouin household of eight people, including four children and three women, was displaced from Wadi Salman following repeated settler attacks and relocated to a safer area.","OCHA reported that a Palestinian Bedouin household of eight people, including four children and three women, was displaced from Wadi Salman following repeated settler attacks and relocated to a safer area."
5,evt_005,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-005,phase1_palestine/EVT-005,2026-06-27,eastern Deir al Balah governorate and eastern Gaza city,area,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,37,false,true,false,false,OCHA reported that more than 20 families were displaced from eastern Deir al Balah governorate and more than a dozen from eastern Gaza city between 26 and 27 June after people were ordered to leave or fled as forces advanced.,OCHA reported that more than 20 families were displaced from eastern Deir al Balah governorate and more than a dozen from eastern Gaza city between 26 and 27 June after people were ordered to leave or fled as forces advanced.
15,evt_015,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-015,phase1_palestine/EVT-015,2026-06-27,Rammun village in Ramallah governorate,infrastructure,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,38,false,true,false,false,"OCHA reported that Israeli settlers cut electricity cables connected to an under-construction school and broke into several agricultural structures in Rammun, stealing farming equipment in an area where a nearby settlement outpost has restricted Palestinian farmers access to agricultural land.","OCHA reported that Israeli settlers cut electricity cables connected to an under-construction school and broke into several agricultural structures in Rammun, stealing farming equipment in an area where a nearby settlement outpost has restricted Palestinian farmers access to agricultural land."
18,evt_018,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-018,phase1_palestine/EVT-018,2026-06-27,East Jerusalem - Kafr Aqab and Shufat Camp,area,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,39,true,true,false,false,"OCHA reported that 14 Palestinian-owned structures were demolished during the reporting period for lacking Israeli-issued building permits, including 12 in East Jerusalem and 2 in Area C, affecting multiple households.","OCHA reported that 14 Palestinian-owned structures were demolished during the reporting period for lacking Israeli-issued building permits, including 12 in East Jerusalem and 2 in Area C, affecting multiple households."
14,evt_014,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-014,phase1_palestine/EVT-014,2026-06-28,Kafr ad Dik in Salfit governorate,community,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-06,40,false,true,false,false,"OCHA documented that on 28 June, settlers established a new tent and threatened five Palestinian herding families, prompting them to relocate approximately 400 sheep and other belongings.","OCHA documented that on 28 June, settlers established a new tent and threatened five Palestinian herding families, prompting them to relocate approximately 400 sheep and other belongings."
